latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
24.700005,92.45001,NaN,0,GMT,GMT

time,river_discharge (m³/s)
2017-09-12,10.46
2017-09-13,10.27
2017-09-14,10.12
2017-09-15,9.91
2017-09-16,9.74
2017-09-17,9.64
2017-09-18,9.72
2017-09-19,9.84
2017-09-20,9.96
2017-09-21,9.96
2017-09-22,9.84
2017-09-23,9.64
2017-09-24,9.47
2017-09-25,9.33
2017-09-26,9.19
2017-09-27,9.07
2017-09-28,9.21
2017-09-29,9.50
2017-09-30,9.59
2017-10-01,9.54
2017-10-02,9.45
2017-10-03,9.26
2017-10-04,9.05
2017-10-05,8.89
2017-10-06,8.79
2017-10-07,8.75
2017-10-08,8.64
2017-10-09,8.51
2017-10-10,8.35
2017-10-11,8.18
2017-10-12,8.06
2017-10-13,7.97
2017-10-14,7.89
2017-10-15,7.79
2017-10-16,7.65
2017-10-17,7.51
2017-10-18,7.57
2017-10-19,7.75
2017-10-20,7.97
2017-10-21,9.47
2017-10-22,10.51
2017-10-23,10.43
2017-10-24,9.99
2017-10-25,9.57
2017-10-26,9.23
2017-10-27,8.95
2017-10-28,8.71
2017-10-29,8.51
2017-10-30,8.35
2017-10-31,8.23
2017-11-01,8.08
2017-11-02,7.91
2017-11-03,7.75
2017-11-04,7.59
2017-11-05,7.45
2017-11-06,7.32
2017-11-07,7.17
2017-11-08,7.05
2017-11-09,6.93
2017-11-10,6.80
2017-11-11,6.67
2017-11-12,6.57
2017-11-13,6.45
2017-11-14,6.35
2017-11-15,6.24
2017-11-16,6.14
2017-11-17,6.06
2017-11-18,5.98
2017-11-19,5.90
2017-11-20,5.81
2017-11-21,5.71
2017-11-22,5.62
2017-11-23,5.55
2017-11-24,5.46
2017-11-25,5.37
2017-11-26,5.30
2017-11-27,5.22
2017-11-28,5.14
2017-11-29,5.07
2017-11-30,4.98
2017-12-01,4.92
2017-12-02,4.85
2017-12-03,4.78
2017-12-04,4.71
2017-12-05,4.66
2017-12-06,4.60
2017-12-07,4.53
2017-12-08,4.47
2017-12-09,4.47
2017-12-10,4.75
2017-12-11,5.08
2017-12-12,5.24
2017-12-13,5.21
2017-12-14,5.08
2017-12-15,4.96
2017-12-16,4.85
2017-12-17,4.75
2017-12-18,4.66
2017-12-19,4.57
2017-12-20,4.52
2017-12-21,4.43
2017-12-22,4.37
2017-12-23,4.33
2017-12-24,4.26
2017-12-25,4.20
2017-12-26,4.15
2017-12-27,4.11
2017-12-28,4.05
2017-12-29,4.00
2017-12-30,3.95
2017-12-31,3.91
2018-01-01,3.88
2018-01-02,3.86
2018-01-03,3.89
2018-01-04,3.88
2018-01-05,3.84
2018-01-06,3.80
2018-01-07,3.75
2018-01-08,3.70
2018-01-09,3.66
2018-01-10,3.61
2018-01-11,3.56
2018-01-12,3.53
2018-01-13,3.49
2018-01-14,3.46
2018-01-15,3.43
2018-01-16,3.40
2018-01-17,3.36
2018-01-18,3.33
2018-01-19,3.30
2018-01-20,3.25
2018-01-21,3.22
2018-01-22,3.19
2018-01-23,3.17
2018-01-24,3.14
2018-01-25,3.11
2018-01-26,3.09
2018-01-27,3.06
2018-01-28,3.03
2018-01-29,3.00
2018-01-30,3.00
2018-01-31,2.97
2018-02-01,2.97
2018-02-02,2.94
2018-02-03,2.94
2018-02-04,2.91
2018-02-05,2.87
2018-02-06,2.87
2018-02-07,2.81
2018-02-08,2.78
2018-02-09,2.75
2018-02-10,2.75
2018-02-11,2.72
2018-02-12,2.69
2018-02-13,2.69
2018-02-14,2.66
2018-02-15,2.66
2018-02-16,2.62
2018-02-17,2.62
2018-02-18,2.60
2018-02-19,2.60
2018-02-20,2.56
2018-02-21,2.56
2018-02-22,2.50
2018-02-23,2.47
2018-02-24,2.44
2018-02-25,2.40
2018-02-26,2.40
2018-02-27,2.40
2018-02-28,2.40
2018-03-01,2.40
2018-03-02,2.37
2018-03-03,2.37
2018-03-04,2.34
2018-03-05,2.34
2018-03-06,2.31
2018-03-07,2.31
2018-03-08,2.31
2018-03-09,2.28
2018-03-10,2.25
2018-03-11,2.22
2018-03-12,2.18
2018-03-13,2.18
2018-03-14,2.18
2018-03-15,2.22
2018-03-16,2.34
2018-03-17,2.56
2018-03-18,2.66
2018-03-19,2.62
2018-03-20,2.56
2018-03-21,2.47
2018-03-22,2.44
2018-03-23,2.37
2018-03-24,2.34
2018-03-25,2.31
2018-03-26,2.34
2018-03-27,2.37
2018-03-28,2.37
2018-03-29,2.34
2018-03-30,2.37
2018-03-31,2.37
2018-04-01,2.34
2018-04-02,2.31
2018-04-03,2.31
2018-04-04,2.28
2018-04-05,2.28
2018-04-06,2.31
2018-04-07,2.31
2018-04-08,2.31
2018-04-09,2.34
2018-04-10,2.34
2018-04-11,2.34
2018-04-12,2.37
2018-04-13,2.44
2018-04-14,2.44
2018-04-15,2.44
2018-04-16,2.40
2018-04-17,2.44
2018-04-18,2.53
2018-04-19,2.69
2018-04-20,2.87
2018-04-21,3.03
2018-04-22,3.09
2018-04-23,3.09
2018-04-24,3.06
2018-04-25,3.00
2018-04-26,2.97
2018-04-27,2.91
2018-04-28,2.87
2018-04-29,2.91
2018-04-30,2.94
2018-05-01,2.94
2018-05-02,2.97
2018-05-03,3.03
2018-05-04,3.16
2018-05-05,3.50
2018-05-06,4.09
2018-05-07,4.75
2018-05-08,5.22
2018-05-09,5.44
2018-05-10,5.50
2018-05-11,5.50
2018-05-12,5.44
2018-05-13,5.34
2018-05-14,5.25
2018-05-15,5.22
2018-05-16,5.19
